id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price,day_of_week
FOODS_1_006_TX_3_validation,FOODS_1_006,FOODS_1,FOODS,TX_3,TX,1,5,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,1.97,1.0
FOODS_1_061_TX_1_validation,FOODS_1_061,FOODS_1,FOODS,TX_1,TX,1,3,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,2.0,1.0
FOODS_1_088_TX_3_validation,FOODS_1_088,FOODS_1,FOODS,TX_3,TX,1,6,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,3.97,1.0
FOODS_3_302_WI_1_validation,FOODS_3_302,FOODS_3,FOODS,WI_1,WI,1,0,,,,,,,,,,,,,,,
FOODS_3_446_TX_2_validation,FOODS_3_446,FOODS_3,FOODS,TX_2,TX,1,0,,,,,,,,,,,,,,,
FOODS_3_610_WI_2_validation,FOODS_3_610,FOODS_3,FOODS,WI_2,WI,1,1,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,1.98,1.0
FOODS_3_783_WI_3_validation,FOODS_3_783,FOODS_3,FOODS,WI_3,WI,1,1,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,5.98,1.0
HOBBIES_1_035_WI_2_validation,HOBBIES_1_035,HOBBIES_1,HOBBIES,WI_2,WI,1,0,,,,,,,,,,,,,,,
HOBBIES_1_163_CA_2_validation,HOBBIES_1_163,HOBBIES_1,HOBBIES,CA_2,CA,1,1,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,9.42,1.0
HOBBIES_1_321_CA_1_validation,HOBBIES_1_321,HOBBIES_1,HOBBIES,CA_1,CA,1,4,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,6.44,1.0
HOUSEHOLD_1_055_CA_2_validation,HOUSEHOLD_1_055,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA,1,9,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,3.86,1.0
HOUSEHOLD_1_260_TX_1_validation,HOUSEHOLD_1_260,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,1,0,,,,,,,,,,,,,,,
HOUSEHOLD_1_280_WI_2_validation,HOUSEHOLD_1_280,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,1,0,,,,,,,,,,,,,,,
HOUSEHOLD_1_329_WI_3_validation,HOUSEHOLD_1_329,HOUSEHOLD_1,HOUSEHOLD,WI_3,WI,1,0,,,,,,,,,,,,,,,
HOUSEHOLD_1_488_TX_3_validation,HOUSEHOLD_1_488,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX,1,0,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,9.98,1.0
HOUSEHOLD_2_164_CA_1_validation,HOUSEHOLD_2_164,HOUSEHOLD_2,HOUSEHOLD,CA_1,CA,1,0,,,,,,,,,,,,,,,
HOUSEHOLD_2_328_TX_1_validation,HOUSEHOLD_2_328,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,1,0,2011-01-29,11101.0,Saturday,1.0,1.0,2011.0,,,,,0.0,0.0,0.0,6.97,1.0
